PERMNO,date,TICKER,VOL,RET
76568,3/30/2010,SONC,754552,-0.000896
76568,3/31/2010,SONC,959885,-0.008072
76568,4/1/2010,SONC,862546,0.006329
76568,4/5/2010,SONC,832623,0.022462
76568,4/6/2010,SONC,553032,0.011424
76568,4/7/2010,SONC,1702428,0.005213
76568,4/8/2010,SONC,801532,0.003457
76568,4/9/2010,SONC,926577,-0.004307
76568,4/12/2010,SONC,2225045,0.077855
76568,4/13/2010,SONC,989637,-0.029695
76568,4/14/2010,SONC,466146,0.004963
76568,4/15/2010,SONC,633932,-0.004938
76568,4/16/2010,SONC,1010312,0.004963
76568,4/19/2010,SONC,534998,-0.009877
76568,4/20/2010,SONC,909147,0.032419
76568,4/21/2010,SONC,763041,0.007246
76568,4/22/2010,SONC,1169324,0.039169
76568,4/23/2010,SONC,844966,-0.022308
76568,4/26/2010,SONC,611302,-0.011802
76568,4/27/2010,SONC,1025918,-0.02707
76568,4/28/2010,SONC,1244472,-0.037643
76568,4/29/2010,SONC,1568518,0.020408
76568,4/30/2010,SONC,860515,-0.023333
76568,5/3/2010,SONC,783635,0.037543
76568,5/4/2010,SONC,1149493,-0.012335
76568,5/5/2010,SONC,795116,-0.014155
76568,5/6/2010,SONC,1004062,-0.048986
76568,5/7/2010,SONC,1077633,-0.019538
76568,5/10/2010,SONC,933979,0.048007
76568,5/11/2010,SONC,1190067,0.004322
76568,5/12/2010,SONC,731839,0.013769
76568,5/13/2010,SONC,899915,-0.004244
76568,5/14/2010,SONC,1126237,-0.01364
76568,5/17/2010,SONC,1328110,0.011236
76568,5/18/2010,SONC,936149,-0.013675
76568,5/19/2010,SONC,751522,-0.015598
76568,5/20/2010,SONC,1239086,-0.043134
76568,5/21/2010,SONC,1395594,0.00552
76568,5/24/2010,SONC,542077,-0.011894
76568,5/25/2010,SONC,1007047,-0.016667
76568,5/26/2010,SONC,1547080,-0.032957
76568,5/27/2010,SONC,1016613,0.027264
76568,5/28/2010,SONC,616210,0
76568,6/1/2010,SONC,569450,-0.029384
76568,6/2/2010,SONC,3187315,0
76568,6/3/2010,SONC,445167,0.013672
76568,6/4/2010,SONC,625551,-0.041426
76568,6/7/2010,SONC,2074208,-0.052261
76568,6/8/2010,SONC,627224,0.005302
76568,6/9/2010,SONC,836538,0.025317
76568,6/10/2010,SONC,622571,0.021091
76568,6/11/2010,SONC,1210187,-0.039799
76568,6/14/2010,SONC,553960,0.022036
76568,6/15/2010,SONC,578635,0.016427
76568,6/16/2010,SONC,1823088,-0.051515
76568,6/17/2010,SONC,769824,-0.00639
76568,6/18/2010,SONC,696193,0.01179
76568,6/21/2010,SONC,867439,-0.01589
76568,6/22/2010,SONC,2931461,-0.082885
76568,6/23/2010,SONC,1956464,-0.026995
76568,6/24/2010,SONC,1366500,-0.016888
76568,6/25/2010,SONC,1500813,0.006135
76568,6/28/2010,SONC,611101,-0.006098
76568,6/29/2010,SONC,1378384,-0.03681
76568,6/30/2010,SONC,1010792,-0.012739
76568,7/1/2010,SONC,854810,-0.005161
76568,7/2/2010,SONC,1186822,0.006485
76568,7/6/2010,SONC,1265137,-0.051546
76568,7/7/2010,SONC,845462,0.025815
76568,7/8/2010,SONC,529809,0.010596
76568,7/9/2010,SONC,544233,0.027523
76568,7/12/2010,SONC,891932,0.024235
76568,7/13/2010,SONC,1311124,0.054795
76568,7/14/2010,SONC,1149176,-0.009445
76568,7/15/2010,SONC,659557,0.003576
76568,7/16/2010,SONC,658578,-0.04038
76568,7/19/2010,SONC,594048,0.018564
76568,7/20/2010,SONC,618377,0.019441
76568,7/21/2010,SONC,667948,-0.003576
76568,7/22/2010,SONC,646777,0.044258
76568,7/23/2010,SONC,815865,0.021764
76568,7/26/2010,SONC,641948,0.017937
76568,7/27/2010,SONC,604924,0
76568,7/28/2010,SONC,557982,-0.005507
76568,7/29/2010,SONC,634117,-0.008859
76568,7/30/2010,SONC,716188,-0.01676
76568,8/2/2010,SONC,479332,0.023864
76568,8/3/2010,SONC,489100,-0.013319
76568,8/4/2010,SONC,352077,-0.005624
76568,8/5/2010,SONC,276253,-0.023756
76568,8/6/2010,SONC,477168,-0.011588
76568,8/9/2010,SONC,468726,0.018757
76568,8/10/2010,SONC,371296,-0.024166
76568,8/11/2010,SONC,341985,-0.035377
76568,8/12/2010,SONC,434040,-0.005196
76568,8/13/2010,SONC,435135,-0.021813
76568,8/16/2010,SONC,258768,-0.003769
76568,8/17/2010,SONC,368489,0.027743
76568,8/18/2010,SONC,1011294,-0.008589
76568,8/19/2010,SONC,1087208,0.016089
76568,8/20/2010,SONC,501883,-0.009744
76568,8/23/2010,SONC,411455,-0.00615
76568,8/24/2010,SONC,607460,-0.011139
76568,8/25/2010,SONC,723233,-0.001252
76568,8/26/2010,SONC,572331,-0.013784
76568,8/27/2010,SONC,544074,0.016518
76568,8/30/2010,SONC,278216,-0.02
76568,8/31/2010,SONC,493401,-0.021684
76568,9/1/2010,SONC,1319969,0.029987
76568,9/2/2010,SONC,1418453,0.010127
76568,9/3/2010,SONC,1062509,-0.011278
76568,9/7/2010,SONC,838898,-0.008872
76568,9/8/2010,SONC,725453,0
76568,9/9/2010,SONC,405078,-0.008951
76568,9/10/2010,SONC,484196,-0.005161
76568,9/13/2010,SONC,964111,-0.001297
76568,9/14/2010,SONC,1013987,-0.006493
76568,9/15/2010,SONC,2182804,0.043137
76568,9/16/2010,SONC,878518,-0.031328
76568,9/17/2010,SONC,636233,-0.012937
76568,9/20/2010,SONC,901936,0.031455
76568,9/21/2010,SONC,450675,-0.017789
76568,9/22/2010,SONC,1036043,-0.021992
76568,9/23/2010,SONC,448067,-0.018519
76568,9/24/2010,SONC,411173,0.036388
76568,9/27/2010,SONC,306807,-0.014304
76568,9/28/2010,SONC,455483,0.013193
76568,9/29/2010,SONC,439551,0.011719
76568,9/30/2010,SONC,1036547,0.039897
76568,10/1/2010,SONC,772493,0.032178
76568,10/4/2010,SONC,691117,-0.022782
76568,10/5/2010,SONC,667686,0.040491
76568,10/6/2010,SONC,404860,-0.001179
76568,10/7/2010,SONC,419923,-0.008265
76568,10/8/2010,SONC,521252,0.014286
76568,10/11/2010,SONC,948256,0.015258
76568,10/12/2010,SONC,1009996,0.039306
76568,10/13/2010,SONC,2690458,0.034483
76568,10/14/2010,SONC,688687,-0.004301
76568,10/15/2010,SONC,947156,-0.00108
76568,10/18/2010,SONC,4047082,0.045405
76568,10/19/2010,SONC,1548797,-0.041365
76568,10/20/2010,SONC,1966359,-0.022654
76568,10/21/2010,SONC,1018761,0.016556
76568,10/22/2010,SONC,1583136,0.017372
76568,10/25/2010,SONC,922670,-0.009605
76568,10/26/2010,SONC,1022784,-0.002155
76568,10/27/2010,SONC,552938,-0.021598
76568,10/28/2010,SONC,574140,-0.007726
76568,10/29/2010,SONC,829699,-0.011123
76568,11/1/2010,SONC,1050020,0.008999
76568,11/2/2010,SONC,847327,0.010033
76568,11/3/2010,SONC,873506,0.006622
76568,11/4/2010,SONC,1023901,0.026316
76568,11/5/2010,SONC,994196,0.00641
76568,11/8/2010,SONC,784144,-0.012739
76568,11/9/2010,SONC,1031087,0.001075
76568,11/10/2010,SONC,569307,0.002148
76568,11/11/2010,SONC,505992,-0.007503
76568,11/12/2010,SONC,663988,-0.031317
76568,11/15/2010,SONC,514303,-0.006689
76568,11/16/2010,SONC,706153,-0.008979
76568,11/17/2010,SONC,753387,-0.00906
76568,11/18/2010,SONC,660943,0.001143
76568,11/19/2010,SONC,1446466,0.01484
76568,11/22/2010,SONC,1100742,0.00225
76568,11/23/2010,SONC,561710,-0.005612
76568,11/24/2010,SONC,894453,0.01693
76568,11/26/2010,SONC,504974,-0.006659
76568,11/29/2010,SONC,1282326,0.043575
76568,11/30/2010,SONC,2104149,0.002141
76568,12/1/2010,SONC,1198071,0.020299
76568,12/2/2010,SONC,799703,0.003141
76568,12/3/2010,SONC,743920,-0.008351
76568,12/6/2010,SONC,719833,0.045526
76568,12/7/2010,SONC,492117,0.001258
76568,12/8/2010,SONC,445561,0.006536
76568,12/9/2010,SONC,394473,-0.007992
76568,12/10/2010,SONC,604313,-0.015861
76568,12/13/2010,SONC,257368,-0.009465
76568,12/14/2010,SONC,454964,-0.011364
76568,12/15/2010,SONC,546643,-0.007314
76568,12/16/2010,SONC,396384,0.009474
76568,12/17/2010,SONC,2898321,0.088634
76568,12/20/2010,SONC,798756,0.024904
76568,12/21/2010,SONC,1129576,0.017757
76568,12/22/2010,SONC,557844,0.000918
76568,12/23/2010,SONC,447748,-0.001835
76568,12/27/2010,SONC,423621,-0.013787
76568,12/28/2010,SONC,418710,-0.033551
76568,12/29/2010,SONC,931445,-0.024108
76568,12/30/2010,SONC,482907,0
76568,12/31/2010,SONC,394211,0
76568,1/3/2011,SONC,702865,-0.003953
76568,1/4/2011,SONC,2063561,0.001984
76568,1/5/2011,SONC,3977054,0.119802
76568,1/6/2011,SONC,1248219,-0.01061
76568,1/7/2011,SONC,964882,-0.015192
76568,1/10/2011,SONC,949947,0.009982
76568,1/11/2011,SONC,644251,-0.01168
76568,1/12/2011,SONC,905758,0.019091
76568,1/13/2011,SONC,736141,-0.029438
76568,1/14/2011,SONC,1117692,-0.028493
76568,1/18/2011,SONC,970580,0.012062
76568,1/19/2011,SONC,1104975,-0.031549
76568,1/20/2011,SONC,641333,-0.008687
76568,1/21/2011,SONC,555182,-0.002191
76568,1/24/2011,SONC,643519,-0.005611
76568,1/25/2011,SONC,741608,-0.007851
76568,1/26/2011,SONC,934726,-0.006924
76568,1/27/2011,SONC,792110,0.013944
76568,1/28/2011,SONC,1100413,-0.053045
76568,1/31/2011,SONC,739002,-0.005187
76568,2/1/2011,SONC,643089,0.017727
76568,2/2/2011,SONC,355895,-0.015369
76568,2/3/2011,SONC,354677,0.010406
76568,2/4/2011,SONC,416520,-0.007209
76568,2/7/2011,SONC,330384,-0.003112
76568,2/8/2011,SONC,442063,0.01795
76568,2/9/2011,SONC,599247,-0.007411
76568,2/10/2011,SONC,579412,-0.024717
76568,2/11/2011,SONC,559577,-0.002112
76568,2/14/2011,SONC,917038,-0.010582
76568,2/15/2011,SONC,517741,-0.014973
76568,2/16/2011,SONC,441355,0.010858
76568,2/17/2011,SONC,506769,0.008593
76568,2/18/2011,SONC,523236,-0.00213
76568,2/22/2011,SONC,768594,-0.037353
76568,2/23/2011,SONC,672419,0.004435
76568,2/24/2011,SONC,999688,-0.03532
76568,2/25/2011,SONC,1130784,0.021739
76568,2/28/2011,SONC,368175,-0.005599
76568,3/1/2011,SONC,659919,-0.014358
76568,3/2/2011,SONC,404457,0.012282
76568,3/3/2011,SONC,776753,0.012415
76568,3/4/2011,SONC,561409,-0.005574
76568,3/7/2011,SONC,608484,-0.011211
76568,3/8/2011,SONC,2750030,0.037415
76568,3/9/2011,SONC,742699,-0.006557
76568,3/10/2011,SONC,804894,0.0011
76568,3/11/2011,SONC,804649,-0.017583
76568,3/14/2011,SONC,385139,-0.01566
76568,3/15/2011,SONC,407116,-0.010227
76568,3/16/2011,SONC,697477,-0.003444
76568,3/17/2011,SONC,380752,-0.003456
76568,3/18/2011,SONC,566754,0.024277
76568,3/21/2011,SONC,1112494,0.038375
76568,3/22/2011,SONC,1575600,-0.013043
76568,3/23/2011,SONC,1407939,0.014317
76568,3/24/2011,SONC,703285,-0.011944
76568,3/25/2011,SONC,651906,-0.004396
76568,3/28/2011,SONC,538016,-0.006623
76568,3/29/2011,SONC,287298,-0.003333
76568,3/30/2011,SONC,549676,0.00223
